booking_id,customer_id,driver_id,city,pickup_datetime,vehicle_type,distance_km,fare,payment_method,booking_status,cancellation_reason
BK000053,CUST00663,DRV0107,Pune,2025-11-06 05:42:30,Sedan,2.4,67.29,Debit Card,Completed,
BK000054,CUST00850,DRV0205,Chennai,2025-03-29 21:02:55,Sedan,16.8,0.0,,Cancelled by Customer,Found alternate ride
BK000055,CUST01755,DRV0292,Hyderabad,2025-07-30 18:59:49,Sedan,7.5,0.0,,No Driver Found,
BK000056,CUST00487,DRV0305,Hyderabad,2025-10-30 17:14:21,Bike,0.8,39.91,Ola Money,Completed,
BK000057,CUST00965,DRV0256,Mumbai,2025-05-07 09:01:23,Sedan,4.9,88.42,Debit Card,Completed,
BK000058,CUST00078,DRV0110,Bengaluru,2025-03-18 20:53:16,Auto,4.5,77.45,UPI,Completed,
BK000059,CUST01000,DRV0173,Bengaluru,2025-01-21 17:08:09,Mini,1.7,50.7,Ola Money,Completed,
BK000060,CUST00905,DRV0147,Chennai,2025-09-29 14:21:24,Mini,18.2,0.0,,Cancelled by Customer,Found alternate ride
BK000061,CUST01440,DRV0325,Hyderabad,2025-08-20 18:01:58,Sedan,5.1,88.62,UPI,Completed,
BK000062,CUST01151,DRV0270,Bengaluru,2025-12-21 14:48:16,Prime SUV,2.0,76.5,Cash,Completed,
BK000063,CUST01190,DRV0313,Chennai,2025-05-03 23:34:47,Auto,5.5,89.47,Cash,Completed,
BK000064,CUST01124,DRV0310,Hyderabad,2025-03-24 16:43:19,Bike,3.3,55.54,UPI,Completed,
BK000065,CUST01588,DRV0105,Bengaluru,2025-08-21 16:53:06,Mini,5.6,0.0,,Cancelled by Customer,Price too high
BK000066,CUST00592,DRV0304,Pune,2025-04-05 13:29:11,Bike,9.3,84.6,UPI,Completed,
BK000067,CUST00536,DRV0267,Delhi,2025-11-18 02:34:26,Prime SUV,3.7,91.85,Debit Card,Completed,
BK000068,CUST00033,DRV0328,Bengaluru,2025-01-17 10:47:54,Bike,2.1,35.38,Debit Card,Completed,
BK000069,CUST00828,DRV0154,Pune,2025-10-05 20:56:36,Prime SUV,5.7,0.0,,Cancelled by Customer,Found alternate ride
BK000070,CUST00848,DRV0189,Pune,2025-11-14 12:13:20,Sedan,1.9,58.67,Cash,Completed,
BK000071,CUST00746,DRV0130,Bengaluru,2025-01-27 04:02:24,Mini,9.8,129.29,UPI,Completed,
BK000072,CUST01109,DRV0151,Bengaluru,2025-07-07 13:20:29,Auto,0.8,22.46,UPI,Completed,
BK000073,CUST01400,DRV0251,Pune,2025-10-15 07:27:12,Mini,6.6,86.75,Debit Card,Completed,
BK000074,CUST01386,DRV0247,Bengaluru,2025-02-28 23:37:50,Auto,10.0,0.0,,Cancelled by Driver,Long pickup distance
BK000075,CUST00288,DRV0297,Hyderabad,2025-04-26 11:40:03,Mini,5.4,79.98,Ola Money,Completed,
BK000076,CUST00018,DRV0324,Bengaluru,2025-05-22 01:58:58,Mini,8.6,106.5,Ola Money,Completed,
BK000077,CUST00757,DRV0328,Chennai,2025-09-14 19:10:33,Bike,9.3,90.69,Debit Card,Completed,
BK000078,CUST00992,DRV0122,Bengaluru,2025-12-14 19:24:02,Auto,6.7,97.28,Cash,Completed,
BK000079,CUST00873,DRV0111,Chennai,2025-12-11 02:23:21,Sedan,2.0,0.0,,Cancelled by Customer,Found alternate ride
BK000080,CUST01617,DRV0031,Bengaluru,2025-02-11 14:13:27,Bike,13.7,119.14,UPI,Completed,
BK000081,CUST00818,DRV0324,Pune,2025-02-25 05:59:56,Mini,2.8,49.08,Ola Money,Completed,
BK000082,CUST01354,DRV0167,Hyderabad,2025-03-19 07:26:12,Auto,4.0,61.62,Cash,Completed,
BK000083,CUST00681,DRV0095,Mumbai,2025-08-02 19:42:46,Sedan,3.1,81.35,Ola Money,Completed,
BK000084,CUST01022,DRV0342,Hyderabad,2025-08-16 23:28:20,Bike,15.2,101.84,UPI,Completed,
BK000085,CUST01335,DRV0068,Bengaluru,2025-04-29 18:55:07,Sedan,5.6,107.74,Cash,Completed,
BK000086,CUST01158,DRV0035,Delhi,2025-12-02 23:31:19,Bike,3.5,54.6,Debit Card,Completed,
BK000087,CUST00802,DRV0227,Hyderabad,2025-10-08 16:12:40,Auto,1.4,36.34,Cash,Completed,
BK000088,CUST00651,DRV0146,Delhi,2025-03-29 09:27:59,Mini,7.1,94.9,Cash,Completed,
BK000089,CUST01451,DRV0117,Hyderabad,2025-01-25 05:24:03,Auto,4.4,60.19,Credit Card,Completed,
BK000090,CUST01269,DRV0026,Hyderabad,2025-11-13 05:51:15,Prime SUV,1.8,65.55,Credit Card,Completed,
BK000091,CUST00191,DRV0093,Chennai,2025-12-29 05:35:17,Auto,1.6,29.24,Cash,Completed,
BK000092,CUST01782,DRV0327,Mumbai,2025-10-22 04:36:17,Mini,1.3,37.53,Credit Card,Completed,
BK000093,CUST00671,DRV0319,Hyderabad,2025-10-15 01:15:46,Auto,2.7,0.0,,No Driver Found,
BK000094,CUST00387,DRV0209,Chennai,2025-03-17 13:34:38,Prime SUV,3.0,0.0,,No Driver Found,
BK000095,CUST01031,DRV0279,Delhi,2025-10-01 10:58:46,Bike,0.9,19.04,Ola Money,Completed,
BK000096,CUST00994,DRV0058,Chennai,2025-03-16 16:40:36,Auto,1.5,51.33,Debit Card,Completed,
BK000097,CUST00874,DRV0185,Bengaluru,2025-09-17 12:03:41,Mini,12.2,163.62,Cash,Completed,
BK000098,CUST00057,DRV0271,Chennai,2025-10-21 05:21:18,Prime SUV,12.5,271.49,Ola Money,Completed,
BK000099,CUST01743,DRV0119,Chennai,2025-06-23 04:05:21,Auto,5.7,0.0,,Cancelled by Driver,Long pickup distance
BK000100,CUST00540,DRV0067,Delhi,2025-12-14 20:03:35,Auto,7.6,81.91,Debit Card,Completed,
BK000101,CUST00086,DRV0024,Hyderabad,2025-04-23 16:14:14,Sedan,2.5,55.72,Debit Card,Completed,
BK000102,CUST01451,DRV0249,Hyderabad,2025-11-25 07:06:18,Bike,2.4,41.9,Cash,Completed,
BK000103,CUST00280,DRV0292,Mumbai,2025-04-11 00:49:15,Sedan,2.2,0.0,,Cancelled by Customer,Found alternate ride
BK000104,CUST01358,DRV0276,Mumbai,2025-09-20 14:21:37,Auto,7.0,78.83,Debit Card,Completed,
BK000105,CUST00381,DRV0090,Hyderabad,2025-09-19 02:02:26,Auto,6.2,93.05,Credit Card,Completed,
BK000106,CUST01535,DRV0213,Delhi,2025-08-07 13:27:28,Mini,5.8,85.38,Cash,Completed,
BK000107,CUST00713,DRV0183,Pune,2025-06-29 11:13:01,Auto,10.8,0.0,,Cancelled by Customer,Found alternate ride
BK000108,CUST01235,DRV0096,Pune,2025-04-21 16:10:24,Bike,2.7,48.45,Ola Money,Completed,
BK000109,CUST01564,DRV0321,Mumbai,2025-05-28 05:57:48,Prime SUV,7.9,0.0,,No Driver Found,
BK000110,CUST00284,DRV0166,Hyderabad,2025-08-06 15:04:49,Sedan,6.3,102.39,UPI,Completed,
BK000111,CUST01714,DRV0195,Pune,2025-03-15 07:33:54,Prime SUV,18.4,0.0,,No Driver Found,
BK000112,CUST01129,DRV0046,Pune,2025-09-26 12:12:43,Auto,13.1,0.0,,Cancelled by Driver,Personal emergency
BK000113,CUST01074,DRV0257,Delhi,2025-02-15 00:14:27,Bike,2.8,0.0,,Cancelled by Driver,Personal emergency
BK000114,CUST01692,DRV0020,Hyderabad,2025-03-31 20:14:11,Auto,5.3,71.56,Credit Card,Completed,
BK000115,CUST01232,DRV0086,Hyderabad,2025-04-13 06:46:20,Sedan,4.1,92.37,Ola Money,Completed,
BK000116,CUST01614,DRV0278,Chennai,2025-01-22 10:59:42,Mini,5.5,95.54,Debit Card,Completed,
BK000117,CUST01386,DRV0295,Bengaluru,2025-08-26 08:10:28,Prime SUV,3.8,83.01,Cash,Completed,
BK000118,CUST00623,DRV0216,Chennai,2025-06-03 23:19:18,Bike,10.1,95.63,Cash,Completed,
BK000119,CUST00990,DRV0341,Mumbai,2025-08-02 06:31:50,Prime SUV,1.8,58.96,Credit Card,Completed,
BK000120,CUST01791,DRV0069,Hyderabad,2025-01-15 04:20:44,Auto,3.4,63.54,UPI,Completed,
BK000121,CUST01265,DRV0223,Pune,2025-11-03 13:10:16,Sedan,5.3,101.63,Cash,Completed,
BK000122,CUST01026,DRV0044,Bengaluru,2025-11-18 17:19:55,Auto,4.6,0.0,,Cancelled by Customer,Changed plans
BK000123,CUST00630,DRV0161,Chennai,2025-09-20 20:56:40,Prime SUV,7.3,149.23,Debit Card,Completed,
BK000124,CUST00643,DRV0157,Bengaluru,2025-01-30 05:19:14,Mini,0.9,0.0,,Cancelled by Customer,Driver took too long
BK000125,CUST00756,DRV0208,Mumbai,2025-07-02 05:56:45,Auto,7.8,81.79,Cash,Completed,
BK000126,CUST01512,DRV0049,Delhi,2025-01-25 10:33:12,Mini,0.8,27.55,UPI,Completed,
BK000127,CUST00992,DRV0073,Bengaluru,2025-09-21 07:03:23,Prime SUV,7.4,173.59,UPI,Completed,
BK000128,CUST00153,DRV0286,Chennai,2025-11-03 06:05:06,Bike,11.1,0.0,,Cancelled by Customer,Changed plans
BK000129,CUST01734,DRV0127,Pune,2025-05-19 13:11:56,Bike,5.2,44.08,Credit Card,Completed,
BK000130,CUST01792,DRV0125,Mumbai,2025-01-07 04:59:10,Mini,2.0,47.55,Ola Money,Completed,
BK000131,CUST01237,DRV0339,Chennai,2025-07-30 12:23:25,Sedan,15.4,253.23,Credit Card,Completed,
BK000132,CUST00988,DRV0018,Mumbai,2025-03-21 18:19:39,Auto,3.4,47.23,Debit Card,Completed,
BK000133,CUST00763,DRV0278,Hyderabad,2025-11-11 19:08:18,Mini,2.8,66.18,UPI,Completed,
BK000134,CUST01771,DRV0219,Hyderabad,2025-08-02 16:45:57,Sedan,5.7,117.28,Credit Card,Completed,
BK000135,CUST01414,DRV0080,Hyderabad,2025-01-09 17:27:31,Mini,3.2,55.65,Credit Card,Completed,
BK000136,CUST00753,DRV0325,Pune,2025-08-15 21:45:35,Sedan,8.1,0.0,,No Driver Found,
BK000137,CUST01465,DRV0244,Hyderabad,2025-03-30 11:05:35,Mini,10.0,0.0,,Cancelled by Customer,Driver took too long
BK000138,CUST01624,DRV0096,Delhi,2025-03-07 05:10:59,Bike,4.0,54.64,Credit Card,Completed,
BK000139,CUST00974,DRV0056,Delhi,2025-03-08 02:51:42,Sedan,2.7,60.54,UPI,Completed,
BK000140,CUST00967,DRV0126,Delhi,2025-02-09 00:41:04,Mini,4.8,86.04,UPI,Completed,
BK000141,CUST00911,DRV0176,Chennai,2025-04-11 03:55:31,Sedan,8.3,127.18,Debit Card,Completed,
BK000142,CUST00325,DRV0322,Hyderabad,2025-01-31 17:04:43,Prime SUV,8.1,167.47,UPI,Completed,
BK000143,CUST01753,DRV0134,Bengaluru,2025-06-04 00:22:26,Mini,4.1,0.0,,Cancelled by Customer,App issue
BK000144,CUST00429,DRV0216,Mumbai,2025-04-16 21:23:38,Bike,2.2,50.24,Cash,Completed,
BK000145,CUST00960,DRV0025,Delhi,2025-01-15 03:18:18,Auto,2.9,40.47,Cash,Completed,
BK000146,CUST00762,DRV0244,Pune,2025-10-24 12:39:51,Mini,4.3,0.0,,Cancelled by Customer,App issue
BK000147,CUST01097,DRV0021,Chennai,2025-05-04 18:22:59,Sedan,7.4,130.71,Debit Card,Completed,
BK000148,CUST01741,DRV0204,Pune,2025-01-08 19:15:15,Prime SUV,3.6,84.91,Cash,Completed,
BK000149,CUST01354,DRV0150,Hyderabad,2025-03-29 19:33:22,Sedan,4.3,70.33,Credit Card,Completed,
BK000150,CUST01572,DRV0205,Bengaluru,2025-09-16 17:17:01,Sedan,3.5,69.99,Ola Money,Completed,
BK000151,CUST01635,DRV0256,Hyderabad,2025-12-11 03:54:27,Sedan,1.5,36.43,Ola Money,Completed,
BK000152,CUST00959,DRV0253,Mumbai,2025-08-06 07:48:05,Mini,3.8,67.23,Cash,Completed,
BK000153,CUST00005,DRV0207,Bengaluru,2025-03-05 16:57:46,Bike,5.4,45.71,Cash,Completed,
BK000154,CUST00257,DRV0085,Pune,2025-12-27 10:29:44,Sedan,5.1,98.11,Cash,Completed,
BK000155,CUST00410,DRV0259,Pune,2025-09-10 04:12:47,Prime SUV,8.1,175.44,Cash,Completed,
BK000156,CUST00201,DRV0220,Mumbai,2025-12-18 16:09:50,Bike,4.2,41.98,Ola Money,Completed,
BK000157,CUST01403,DRV0275,Delhi,2025-04-07 02:32:03,Prime SUV,6.4,0.0,,Cancelled by Customer,Changed plans
BK000158,CUST01517,DRV0321,Delhi,2025-04-02 00:27:55,Prime SUV,11.6,260.36,UPI,Completed,
BK000159,CUST00115,DRV0240,Bengaluru,2025-07-22 15:56:57,Sedan,2.3,57.88,UPI,Completed,
BK000160,CUST00069,DRV0346,Mumbai,2025-03-15 14:22:28,Bike,3.7,44.22,UPI,Completed,
BK000161,CUST01657,DRV0199,Bengaluru,2025-03-28 02:21:21,Mini,4.2,67.11,Credit Card,Completed,
BK000162,CUST00570,DRV0007,Bengaluru,2025-11-01 14:43:10,Mini,5.0,0.0,,Cancelled by Customer,Price too high
BK000163,CUST01790,DRV0161,Mumbai,2025-05-23 21:11:13,Prime SUV,5.6,134.21,Ola Money,Completed,
BK000164,CUST01615,DRV0186,Delhi,2025-07-02 17:19:27,Sedan,3.6,0.0,,Cancelled by Driver,Personal emergency
BK000165,CUST01494,DRV0007,Chennai,2025-09-19 10:09:14,Mini,0.8,23.22,UPI,Completed,
BK000166,CUST00164,DRV0037,Chennai,2025-05-09 17:48:58,Bike,2.3,38.72,Credit Card,Completed,
BK000167,CUST01071,DRV0122,Hyderabad,2025-01-16 03:37:35,Auto,2.3,0.0,,Cancelled by Customer,Price too high
BK000168,CUST00388,DRV0132,Chennai,2025-12-14 00:58:26,Mini,3.7,79.86,Cash,Completed,
BK000169,CUST01739,DRV0275,Pune,2025-03-20 11:01:22,Prime SUV,6.3,148.36,UPI,Completed,
BK000170,CUST01436,DRV0301,Bengaluru,2025-12-05 18:55:50,Sedan,8.2,0.0,,Cancelled by Customer,Driver took too long
BK000171,CUST00757,DRV0165,Chennai,2025-05-31 18:07:40,Prime SUV,2.2,66.51,Cash,Completed,
BK000172,CUST01602,DRV0040,Bengaluru,2025-10-04 19:54:06,Prime SUV,10.8,215.73,Ola Money,Completed,
BK000173,CUST00656,DRV0214,Pune,2025-03-02 13:58:03,Sedan,4.5,0.0,,Cancelled by Customer,Price too high
BK000174,CUST00767,DRV0109,Chennai,2025-08-24 01:18:36,Auto,9.3,94.69,Cash,Completed,
BK000175,CUST00055,DRV0040,Pune,2025-12-28 05:58:34,Prime SUV,6.4,146.34,Ola Money,Completed,
BK000176,CUST00653,DRV0173,Pune,2025-09-07 03:58:56,Mini,8.1,116.17,Debit Card,Completed,
BK000177,CUST01659,DRV0252,Bengaluru,2025-12-17 19:38:19,Bike,10.9,92.57,Credit Card,Completed,
BK000178,CUST00764,DRV0182,Delhi,2025-09-17 02:01:45,Auto,9.8,109.94,Ola Money,Completed,
BK000179,CUST00114,DRV0057,Mumbai,2025-11-12 12:50:37,Prime SUV,3.4,97.59,UPI,Completed,
BK000180,CUST00519,DRV0248,Mumbai,2025-01-15 21:29:53,Prime SUV,4.9,0.0,,Cancelled by Customer,Changed plans
BK000181,CUST00440,DRV0140,Delhi,2025-10-26 00:58:45,Prime SUV,6.8,162.16,Ola Money,Completed,
BK000182,CUST00545,DRV0234,Chennai,2025-02-19 15:35:18,Bike,3.1,38.95,Cash,Completed,
BK000183,CUST00412,DRV0046,Pune,2025-01-29 08:53:31,Auto,7.5,84.93,Debit Card,Completed,
BK000184,CUST01079,DRV0322,Delhi,2025-02-13 02:23:05,Prime SUV,6.7,163.37,Credit Card,Completed,
BK000185,CUST00223,DRV0151,Hyderabad,2025-01-11 19:36:11,Auto,3.1,47.68,Ola Money,Completed,
BK000186,CUST00491,DRV0252,Hyderabad,2025-10-18 18:44:30,Bike,9.3,92.84,Ola Money,Completed,
BK000187,CUST00622,DRV0325,Chennai,2025-10-29 00:48:34,Sedan,8.1,152.97,Ola Money,Completed,
BK000188,CUST00777,DRV0105,Bengaluru,2025-06-15 20:50:43,Mini,10.3,126.23,Credit Card,Completed,
BK000189,CUST01120,DRV0053,Delhi,2025-06-22 18:05:07,Mini,11.2,148.28,Cash,Completed,
BK000190,CUST01529,DRV0054,Delhi,2025-03-27 22:23:06,Bike,1.6,0.0,,Cancelled by Driver,Long pickup distance
BK000191,CUST01472,DRV0020,Bengaluru,2025-09-12 23:08:08,Auto,2.4,0.0,,Cancelled by Customer,App issue
BK000192,CUST00180,DRV0297,Delhi,2025-04-20 10:27:44,Mini,8.9,115.85,Debit Card,Completed,
BK000193,CUST01766,DRV0349,Bengaluru,2025-07-25 08:13:27,Mini,2.1,0.0,,Cancelled by Driver,Customer not reachable
BK000194,CUST00616,DRV0213,Pune,2025-10-31 12:15:50,Mini,2.4,44.6,Debit Card,Completed,
BK000195,CUST00723,DRV0254,Pune,2025-09-01 15:33:01,Auto,2.1,0.0,,Cancelled by Customer,Changed plans
BK000196,CUST01256,DRV0348,Delhi,2025-09-16 10:55:09,Bike,7.2,66.19,Credit Card,Completed,
BK000197,CUST00847,DRV0002,Mumbai,2025-08-01 14:38:50,Bike,0.8,22.34,Debit Card,Completed,
BK000198,CUST00770,DRV0099,Pune,2025-04-03 00:40:38,Sedan,4.5,91.84,Credit Card,Completed,
BK000199,CUST01377,DRV0123,Pune,2025-10-23 18:10:31,Mini,8.2,0.0,,Cancelled by Driver,Personal emergency
BK000200,CUST01484,DRV0151,Delhi,2025-05-18 23:13:34,Auto,2.5,48.48,Ola Money,Completed,
BK000201,CUST01091,DRV0145,Hyderabad,2025-10-17 22:49:10,Auto,3.7,45.1,Ola Money,Completed,
BK000202,CUST00107,DRV0244,Chennai,2025-03-17 08:45:06,Mini,4.8,67.31,Cash,Completed,
BK000203,CUST00857,DRV0135,Hyderabad,2025-08-11 14:56:13,Mini,4.2,0.0,,Cancelled by Customer,Found alternate ride
BK000204,CUST01076,DRV0320,Hyderabad,2025-11-21 07:24:40,Auto,9.0,116.38,Cash,Completed,
BK000205,CUST00100,DRV0249,Bengaluru,2025-11-27 05:50:48,Bike,7.1,60.29,Ola Money,Completed,
BK000206,CUST00093,DRV0028,Hyderabad,2025-05-03 04:08:04,Prime SUV,3.0,71.5,Cash,Completed,
BK000207,CUST00032,DRV0126,Mumbai,2025-08-26 17:40:20,Mini,2.6,55.39,UPI,Completed,
BK000208,CUST00481,DRV0058,Mumbai,2025-04-14 05:48:07,Auto,5.1,64.08,Cash,Completed,
BK000209,CUST01020,DRV0217,Pune,2025-12-04 20:03:02,Auto,1.8,0.0,,Cancelled by Customer,Price too high
BK000210,CUST00741,DRV0305,Delhi,2025-01-11 02:00:51,Bike,4.4,62.19,Debit Card,Completed,
BK000211,CUST00064,DRV0042,Bengaluru,2025-06-02 02:18:53,Bike,7.7,83.22,Cash,Completed,
BK000212,CUST01570,DRV0120,Chennai,2025-12-10 23:56:10,Mini,5.1,92.67,Credit Card,Completed,
BK000213,CUST00106,DRV0133,Chennai,2025-05-01 04:04:31,Mini,2.6,55.73,UPI,Completed,
BK000214,CUST01627,DRV0113,Chennai,2025-09-25 21:07:56,Prime SUV,1.4,0.0,,Cancelled by Driver,Vehicle issue
BK000215,CUST01154,DRV0046,Hyderabad,2025-09-12 03:17:09,Auto,6.5,75.64,Cash,Completed,
BK000216,CUST00245,DRV0043,Bengaluru,2025-06-18 21:16:28,Prime SUV,8.6,0.0,,Cancelled by Customer,Driver took too long
BK000217,CUST00658,DRV0143,Bengaluru,2025-08-05 07:56:14,Prime SUV,3.1,73.23,Cash,Completed,
BK000218,CUST00884,DRV0065,Pune,2025-08-14 14:52:06,Bike,7.4,62.03,Ola Money,Completed,
BK000219,CUST00477,DRV0257,Bengaluru,2025-10-01 13:38:33,Bike,5.3,62.79,Debit Card,Completed,
BK000220,CUST01480,DRV0317,Bengaluru,2025-08-05 17:17:20,Mini,0.8,0.0,,Cancelled by Driver,Long pickup distance
BK000221,CUST00478,DRV0158,Mumbai,2025-07-05 17:18:08,Sedan,11.2,0.0,,Cancelled by Customer,Found alternate ride
BK000222,CUST00069,DRV0017,Mumbai,2025-11-27 22:03:25,Auto,5.8,63.24,UPI,Completed,
BK000223,CUST01635,DRV0184,Hyderabad,2025-12-20 08:43:34,Sedan,5.9,100.19,Cash,Completed,
BK000224,CUST00406,DRV0325,Bengaluru,2025-12-17 04:26:37,Sedan,3.4,73.65,Ola Money,Completed,
BK000225,CUST01678,DRV0060,Chennai,2025-07-18 00:17:11,Mini,4.2,83.49,Cash,Completed,
BK000226,CUST00515,DRV0267,Delhi,2025-06-04 03:17:09,Prime SUV,7.0,171.09,Cash,Completed,
BK000227,CUST01204,DRV0038,Chennai,2025-04-18 05:50:01,Bike,10.4,99.88,Ola Money,Completed,
BK000228,CUST00060,DRV0221,Bengaluru,2025-01-18 09:58:38,Bike,8.1,0.0,,Cancelled by Customer,Price too high
BK000229,CUST00254,DRV0079,Bengaluru,2025-08-30 15:02:07,Sedan,4.0,93.79,Ola Money,Completed,
BK000230,CUST01137,DRV0083,Pune,2025-02-21 05:50:16,Auto,3.9,66.05,Cash,Completed,
