review_id,booking_id,customer_id,driver_id,review_text,star_rating,review_date
REV000021,BK000063,CUST01190,DRV0313,"Excellent service, driver helped with my luggage and was very professional.",5,2025-05-04 06:34:47
REV000022,BK000064,CUST01124,DRV0310,"Excellent service, driver helped with my luggage and was very professional.",5,2025-03-24 21:43:19
REV000023,BK000068,CUST00033,DRV0328,"Good experience overall, vehicle was in good condition. Driver knew the Bengaluru routes well.",4,2025-01-17 20:47:54
REV000024,BK000070,CUST00848,DRV0189,"Excellent service, driver helped with my luggage and was very professional.",4,2025-11-14 22:13:20
REV000025,BK000075,CUST00288,DRV0297,"Good experience overall, vehicle was in good condition. Driver knew the Hyderabad routes well.",5,2025-04-27 14:40:03
REV000026,BK000076,CUST00018,DRV0324,"Decent ride but the driver took a longer route than necessary, added to the fare.",3,2025-05-22 22:58:58
REV000027,BK000078,CUST00992,DRV0122,"Good experience overall, vehicle was in good condition. Driver knew the Bengaluru routes well.",4,2025-12-15 22:24:02
REV000028,BK000080,CUST01617,DRV0031,"Decent ride but the driver took a longer route than necessary, added to the fare.",3,2025-02-13 02:13:27
REV000029,BK000081,CUST00818,DRV0324,"Decent ride but the driver took a longer route than necessary, added to the fare.",3,2025-02-26 17:59:56
REV000030,BK000082,CUST01354,DRV0167,AC wasn't working properly but driver was courteous. Fare was reasonable for 4.0km.,3,2025-03-21 06:26:12
REV000031,BK000083,CUST00681,DRV0095,"Decent ride but the driver took a longer route than necessary, added to the fare.",3,2025-08-04 05:42:46
REV000032,BK000086,CUST01158,DRV0035,"Smooth ride, driver took the flyover route which saved time. Would book again.",4,2025-12-03 17:31:19
REV000033,BK000088,CUST00651,DRV0146,AC wasn't working properly but driver was courteous. Fare was reasonable for 7.1km.,4,2025-03-30 17:27:59
REV000034,BK000089,CUST01451,DRV0117,"Good experience overall, vehicle was in good condition. Driver knew the Hyderabad routes well.",4,2025-01-27 03:24:03
REV000035,BK000092,CUST01782,DRV0327,"Excellent service, driver helped with my luggage and was very professional.",5,2025-10-23 12:36:17
REV000036,BK000098,CUST00057,DRV0271,"Average ride, nothing special but no complaints either. On time pickup.",4,2025-10-21 14:21:18
REV000037,BK000100,CUST00540,DRV0067,"Excellent service, driver helped with my luggage and was very professional.",5,2025-12-16 12:03:35
REV000038,BK000101,CUST00086,DRV0024,Driver was a bit late by 10 mins but called ahead to inform. Drive was safe and smooth.,4,2025-04-24 11:14:14
REV000039,BK000102,CUST01451,DRV0249,"Excellent service, driver helped with my luggage and was very professional.",5,2025-11-27 02:06:18
REV000040,BK000105,CUST00381,DRV0090,"Average ride, nothing special but no complaints either. On time pickup.",3,2025-09-19 21:02:26
REV000041,BK000110,CUST00284,DRV0166,"Smooth ride, driver took the flyover route which saved time. Would book again.",4,2025-08-07 08:04:49
REV000042,BK000114,CUST01692,DRV0020,AC wasn't working properly but driver was courteous. Fare was reasonable for 5.3km.,3,2025-04-02 05:14:11
REV000043,BK000115,CUST01232,DRV0086,Driver Zashil was very polite and the Sedan was clean. Reached on time despite traffic near Hyderabad.,5,2025-04-13 18:46:20
REV000044,BK000116,CUST01614,DRV0278,Driver Hemani was very polite and the Mini was clean. Reached on time despite traffic near Chennai.,4,2025-01-23 10:59:42
REV000045,BK000117,CUST01386,DRV0295,"Smooth ride, driver took the flyover route which saved time. Would book again.",4,2025-08-27 18:10:28
REV000046,BK000119,CUST00990,DRV0341,"Decent ride but the driver took a longer route than necessary, added to the fare.",4,2025-08-03 05:31:50
REV000047,BK000125,CUST00756,DRV0208,"Good experience overall, vehicle was in good condition. Driver knew the Mumbai routes well.",4,2025-07-04 03:56:45
REV000048,BK000129,CUST01734,DRV0127,best app best driver,5,2025-05-21 12:11:56
REV000049,BK000130,CUST01792,DRV0125,"Good experience overall, vehicle was in good condition. Driver knew the Mumbai routes well.",4,2025-01-08 09:59:10
REV000050,BK000131,CUST01237,DRV0339,"Good experience overall, vehicle was in good condition. Driver knew the Chennai routes well.",5,2025-08-01 04:23:25
REV000051,BK000132,CUST00988,DRV0018,"Smooth ride, driver took the flyover route which saved time. Would book again.",4,2025-03-22 05:19:39
REV000052,BK000133,CUST00763,DRV0278,"Smooth ride, driver took the flyover route which saved time. Would book again.",4,2025-11-12 15:08:18
REV000053,BK000135,CUST01414,DRV0080,"Smooth ride, driver took the flyover route which saved time. Would book again.",4,2025-01-10 10:27:31
REV000054,BK000140,CUST00967,DRV0126,"Average ride, nothing special but no complaints either. On time pickup.",4,2025-02-10 06:41:04
REV000055,BK000141,CUST00911,DRV0176,nice,5,2025-04-12 19:55:31
REV000056,BK000142,CUST00325,DRV0322,Driver Hemangini was very polite and the Prime SUV was clean. Reached on time despite traffic near Hyderabad.,5,2025-02-01 02:04:43
REV000057,BK000144,CUST00429,DRV0216,"Average ride, nothing special but no complaints either. On time pickup.",3,2025-04-17 14:23:38
REV000058,BK000149,CUST01354,DRV0150,"Average ride, nothing special but no complaints either. On time pickup.",3,2025-03-31 03:33:22
REV000059,BK000151,CUST01635,DRV0256,Driver Fariq was very polite and the Sedan was clean. Reached on time despite traffic near Hyderabad.,5,2025-12-12 19:54:27
REV000060,BK000155,CUST00410,DRV0259,"Average ride, nothing special but no complaints either. On time pickup.",3,2025-09-11 02:12:47
REV000061,BK000156,CUST00201,DRV0220,Driver was a bit late by 10 mins but called ahead to inform. Drive was safe and smooth.,4,2025-12-20 08:09:50
REV000062,BK000158,CUST01517,DRV0321,"Excellent service, driver helped with my luggage and was very professional.",5,2025-04-02 07:27:55
REV000063,BK000160,CUST00069,DRV0346,"Smooth ride, driver took the flyover route which saved time. Would book again.",5,2025-03-17 04:22:28
REV000064,BK000161,CUST01657,DRV0199,"Decent ride but the driver took a longer route than necessary, added to the fare.",3,2025-03-30 00:21:21
REV000065,BK000165,CUST01494,DRV0007,AC wasn't working properly but driver was courteous. Fare was reasonable for 0.8km.,4,2025-09-19 12:09:14
REV000066,BK000166,CUST00164,DRV0037,"Decent ride but the driver took a longer route than necessary, added to the fare.",3,2025-05-11 08:48:58
REV000067,BK000169,CUST01739,DRV0275,"Good experience overall, vehicle was in good condition. Driver knew the Pune routes well.",5,2025-03-21 22:01:22
REV000068,BK000175,CUST00055,DRV0040,Driver was a bit late by 10 mins but called ahead to inform. Drive was safe and smooth.,3,2025-12-28 19:58:34
REV000069,BK000176,CUST00653,DRV0173,Driver was a bit late by 10 mins but called ahead to inform. Drive was safe and smooth.,3,2025-09-08 22:58:56
REV000070,BK000177,CUST01659,DRV0252,"Average ride, nothing special but no complaints either. On time pickup.",3,2025-12-18 20:38:19
REV000071,BK000181,CUST00440,DRV0140,"Average ride, nothing special but no complaints either. On time pickup.",3,2025-10-27 17:58:45
REV000072,BK000182,CUST00545,DRV0234,Driver Xalak was very polite and the Bike was clean. Reached on time despite traffic near Chennai.,5,2025-02-19 18:35:18
REV000073,BK000183,CUST00412,DRV0046,"Good experience overall, vehicle was in good condition. Driver knew the Pune routes well.",5,2025-01-30 21:53:31
REV000074,BK000184,CUST01079,DRV0322,"Average ride, nothing special but no complaints either. On time pickup.",3,2025-02-13 03:23:05
REV000075,BK000185,CUST00223,DRV0151,"Decent ride but the driver took a longer route than necessary, added to the fare.",3,2025-01-13 13:36:11
REV000076,BK000186,CUST00491,DRV0252,"Excellent service, driver helped with my luggage and was very professional.",4,2025-10-20 10:44:30
REV000077,BK000188,CUST00777,DRV0105,"Average ride, nothing special but no complaints either. On time pickup.",4,2025-06-16 21:50:43
REV000078,BK000192,CUST00180,DRV0297,"Average ride, nothing special but no complaints either. On time pickup.",4,2025-04-22 06:27:44
REV000079,BK000194,CUST00616,DRV0213,"Average ride, nothing special but no complaints either. On time pickup.",3,2025-11-01 13:15:50
REV000080,BK000197,CUST00847,DRV0002,"Average ride, nothing special but no complaints either. On time pickup.",3,2025-08-01 20:38:50
REV000081,BK000198,CUST00770,DRV0099,AC wasn't working properly but driver was courteous. Fare was reasonable for 4.5km.,4,2025-04-03 14:40:38
REV000082,BK000200,CUST01484,DRV0151,Driver Udyati was very polite and the Auto was clean. Reached on time despite traffic near Delhi.,5,2025-05-20 04:13:34
REV000083,BK000204,CUST01076,DRV0320,"Good experience overall, vehicle was in good condition. Driver knew the Hyderabad routes well.",5,2025-11-22 01:24:40
REV000084,BK000211,CUST00064,DRV0042,"Excellent service, driver helped with my luggage and was very professional.",4,2025-06-02 19:18:53
REV000085,BK000215,CUST01154,DRV0046,AC wasn't working properly but driver was courteous. Fare was reasonable for 6.5km.,4,2025-09-13 08:17:09
REV000086,BK000218,CUST00884,DRV0065,Driver was a bit late by 10 mins but called ahead to inform. Drive was safe and smooth.,4,2025-08-15 17:52:06
REV000087,BK000219,CUST00477,DRV0257,Call 9876543210 for direct booking and skip the app fees,5,2025-10-03 09:38:33
REV000088,BK000222,CUST00069,DRV0017,"Decent ride but the driver took a longer route than necessary, added to the fare.",3,2025-11-28 06:03:25
REV000089,BK000225,CUST01678,DRV0060,"Average ride, nothing special but no complaints either. On time pickup.",3,2025-07-18 02:17:11
REV000090,BK000226,CUST00515,DRV0267,"Good experience overall, vehicle was in good condition. Driver knew the Delhi routes well.",4,2025-06-06 03:17:09
REV000091,BK000227,CUST01204,DRV0038,"Smooth ride, driver took the flyover route which saved time. Would book again.",5,2025-04-19 07:50:01
REV000092,BK000234,CUST01437,DRV0256,"Good experience overall, vehicle was in good condition. Driver knew the Mumbai routes well.",5,2025-04-14 04:52:32
REV000093,BK000236,CUST00655,DRV0216,"Decent ride but the driver took a longer route than necessary, added to the fare.",3,2025-11-02 15:56:20
REV000094,BK000238,CUST01007,DRV0079,"Excellent service, driver helped with my luggage and was very professional.",4,2025-05-26 13:13:59
REV000095,BK000244,CUST01264,DRV0148,"Smooth ride, driver took the flyover route which saved time. Would book again.",5,2025-03-03 06:10:23
REV000096,BK000245,CUST01519,DRV0348,Driver Edhitha was very polite and the Bike was clean. Reached on time despite traffic near Delhi.,5,2025-05-30 16:59:31
REV000097,BK000246,CUST00129,DRV0098,"Good experience overall, vehicle was in good condition. Driver knew the Pune routes well.",5,2025-11-05 11:50:54
REV000098,BK000249,CUST00742,DRV0084,"Average ride, nothing special but no complaints either. On time pickup.",4,2025-10-28 02:33:54
REV000099,BK000254,CUST01295,DRV0005,"Average ride, nothing special but no complaints either. On time pickup.",3,2025-05-10 19:22:11
REV000100,BK000256,CUST01380,DRV0295,"Good experience overall, vehicle was in good condition. Driver knew the Mumbai routes well.",4,2025-10-26 21:31:50
REV000101,BK000257,CUST01560,DRV0275,"Smooth ride, driver took the flyover route which saved time. Would book again.",5,2025-08-29 07:48:10
REV000102,BK000258,CUST00593,DRV0047,"Excellent service, driver helped with my luggage and was very professional.",4,2025-03-14 13:28:51
REV000103,BK000262,CUST00863,DRV0230,Driver Orinder was very polite and the Prime SUV was clean. Reached on time despite traffic near Hyderabad.,5,2025-03-20 04:13:53
REV000104,BK000263,CUST01446,DRV0340,Visit www.bestdeals-ride.com for discount codes!!!,1,2025-01-29 12:52:42
REV000105,BK000264,CUST01389,DRV0244,"Good experience overall, vehicle was in good condition. Driver knew the Delhi routes well.",4,2025-08-30 15:28:28
REV000106,BK000270,CUST00650,DRV0062,Driver was a bit late by 10 mins but called ahead to inform. Drive was safe and smooth.,3,2025-04-05 04:09:40
REV000107,BK000274,CUST01226,DRV0040,Best driver ever! Best driver ever! Best driver ever!,5,2025-08-22 02:52:39
REV000108,BK000276,CUST00462,DRV0189,"Excellent service, driver helped with my luggage and was very professional.",5,2025-10-19 14:42:30
REV000109,BK000277,CUST00062,DRV0027,Driver was a bit late by 10 mins but called ahead to inform. Drive was safe and smooth.,3,2025-06-16 21:01:19
REV000110,BK000279,CUST00890,DRV0251,Call 9876543210 for direct booking and skip the app fees,5,2025-02-16 13:44:48
REV000111,BK000280,CUST00505,DRV0056,AC wasn't working properly but driver was courteous. Fare was reasonable for 12.5km.,3,2025-05-27 13:33:45
REV000112,BK000281,CUST00290,DRV0238,"Excellent service, driver helped with my luggage and was very professional.",5,2025-06-03 21:52:16
REV000113,BK000284,CUST00974,DRV0251,nice nice nice nice nice,5,2025-05-20 17:30:01
REV000114,BK000285,CUST00429,DRV0342,Driver Urmi was very polite and the Bike was clean. Reached on time despite traffic near Mumbai.,5,2025-07-10 03:21:00
REV000115,BK000286,CUST01787,DRV0334,"Average ride, nothing special but no complaints either. On time pickup.",4,2025-01-23 08:41:24
REV000116,BK000288,CUST00491,DRV0194,Driver was a bit late by 10 mins but called ahead to inform. Drive was safe and smooth.,4,2025-02-13 00:35:03
REV000117,BK000289,CUST01123,DRV0150,"Smooth ride, driver took the flyover route which saved time. Would book again.",4,2025-06-04 02:24:38
REV000118,BK000290,CUST00516,DRV0244,"Smooth ride, driver took the flyover route which saved time. Would book again.",4,2025-05-10 06:02:42
REV000119,BK000291,CUST01175,DRV0136,"Good experience overall, vehicle was in good condition. Driver knew the Bengaluru routes well.",5,2025-02-10 03:38:30
REV000120,BK000292,CUST01697,DRV0092,"Smooth ride, driver took the flyover route which saved time. Would book again.",5,2025-02-19 21:55:03
REV000121,BK000293,CUST01328,DRV0190,Driver Manya was very polite and the Prime SUV was clean. Reached on time despite traffic near Bengaluru.,5,2025-07-03 04:16:45
REV000122,BK000298,CUST01130,DRV0228,Driver was a bit late by 10 mins but called ahead to inform. Drive was safe and smooth.,3,2025-05-14 14:52:16
REV000123,BK000299,CUST00235,DRV0307,"Smooth ride, driver took the flyover route which saved time. Would book again.",4,2025-03-02 09:29:03
REV000124,BK000302,CUST00187,DRV0133,Driver Arunima was very polite and the Mini was clean. Reached on time despite traffic near Pune.,4,2025-01-09 11:56:48
REV000125,BK000304,CUST01250,DRV0252,"Good experience overall, vehicle was in good condition. Driver knew the Mumbai routes well.",5,2025-08-13 02:47:38
REV000126,BK000307,CUST01573,DRV0229,Driver was a bit late by 10 mins but called ahead to inform. Drive was safe and smooth.,4,2025-08-30 10:42:52
REV000127,BK000308,CUST01642,DRV0271,"Smooth ride, driver took the flyover route which saved time. Would book again.",5,2025-06-02 18:43:56
REV000128,BK000310,CUST01785,DRV0341,AC wasn't working properly but driver was courteous. Fare was reasonable for 1.8km.,3,2025-09-13 08:04:06
REV000129,BK000312,CUST01490,DRV0086,"Excellent service, driver helped with my luggage and was very professional.",5,2025-12-14 21:45:50
REV000130,BK000316,CUST01670,DRV0299,"Good experience overall, vehicle was in good condition. Driver knew the Delhi routes well.",4,2025-08-29 18:31:08
REV000131,BK000318,CUST00731,DRV0272,"Excellent service, driver helped with my luggage and was very professional.",4,2025-03-10 17:40:55
REV000132,BK000323,CUST01079,DRV0055,"Excellent service, driver helped with my luggage and was very professional.",5,2025-01-11 20:03:46
REV000133,BK000324,CUST01665,DRV0342,"Decent ride but the driver took a longer route than necessary, added to the fare.",4,2025-04-02 18:19:51
REV000134,BK000330,CUST01723,DRV0247,"Good experience overall, vehicle was in good condition. Driver knew the Delhi routes well.",5,2025-02-24 03:28:44
REV000135,BK000331,CUST01293,DRV0094,"Decent ride but the driver took a longer route than necessary, added to the fare.",4,2025-04-17 01:10:00
REV000136,BK000332,CUST01266,DRV0253,best app best driver,5,2025-09-18 00:08:45
REV000137,BK000333,CUST01344,DRV0280,"Excellent service, driver helped with my luggage and was very professional.",4,2025-06-22 04:00:58
REV000138,BK000336,CUST01336,DRV0070,"Good experience overall, vehicle was in good condition. Driver knew the Mumbai routes well.",5,2025-07-06 15:55:02
REV000139,BK000338,CUST01598,DRV0287,"Smooth ride, driver took the flyover route which saved time. Would book again.",5,2025-08-25 08:47:33
REV000140,BK000340,CUST01656,DRV0241,Driver was a bit late by 10 mins but called ahead to inform. Drive was safe and smooth.,3,2025-02-06 03:05:12
REV000141,BK000341,CUST01695,DRV0131,"Smooth ride, driver took the flyover route which saved time. Would book again.",4,2025-08-12 04:14:16
REV000142,BK000343,CUST01603,DRV0321,AC wasn't working properly but driver was courteous. Fare was reasonable for 1.3km.,4,2025-12-06 23:55:28
REV000143,BK000345,CUST00553,DRV0064,Driver Zilmil was very polite and the Mini was clean. Reached on time despite traffic near Mumbai.,5,2025-09-30 11:13:26
REV000144,BK000346,CUST01390,DRV0171,"Excellent service, driver helped with my luggage and was very professional.",5,2025-11-26 23:28:07
REV000145,BK000351,CUST01217,DRV0084,"Good experience overall, vehicle was in good condition. Driver knew the Bengaluru routes well.",5,2025-01-12 13:00:55
REV000146,BK000353,CUST01320,DRV0323,Driver Omaja was very polite and the Auto was clean. Reached on time despite traffic near Mumbai.,4,2025-02-26 23:10:57
REV000147,BK000355,CUST00956,DRV0068,"Good experience overall, vehicle was in good condition. Driver knew the Hyderabad routes well.",5,2025-08-20 06:50:54
REV000148,BK000359,CUST00005,DRV0163,"Decent ride but the driver took a longer route than necessary, added to the fare.",4,2025-02-24 03:56:11
REV000149,BK000360,CUST00523,DRV0243,"Average ride, nothing special but no complaints either. On time pickup.",3,2025-08-22 12:34:03
REV000150,BK000365,CUST01449,DRV0108,AC wasn't working properly but driver was courteous. Fare was reasonable for 12.7km.,4,2025-12-20 03:49:25
REV000151,BK000368,CUST01224,DRV0299,AC wasn't working properly but driver was courteous. Fare was reasonable for 3.9km.,3,2025-08-23 07:14:03
REV000152,BK000371,CUST00272,DRV0009,"Excellent service, driver helped with my luggage and was very professional.",4,2025-07-11 15:06:07
REV000153,BK000372,CUST00845,DRV0223,best app best driver,1,2025-01-16 05:12:06
REV000154,BK000374,CUST01440,DRV0016,"Good experience overall, vehicle was in good condition. Driver knew the Hyderabad routes well.",5,2025-01-03 01:27:13
REV000155,BK000378,CUST01060,DRV0126,AC wasn't working properly but driver was courteous. Fare was reasonable for 16.0km.,4,2025-03-19 06:50:26
REV000156,BK000379,CUST00326,DRV0222,AC wasn't working properly but driver was courteous. Fare was reasonable for 11.9km.,3,2025-07-30 02:05:55
REV000157,BK000380,CUST01241,DRV0131,"Average ride, nothing special but no complaints either. On time pickup.",4,2025-01-26 05:07:57
REV000158,BK000382,CUST01146,DRV0022,"Average ride, nothing special but no complaints either. On time pickup.",3,2025-10-17 03:29:22
REV000159,BK000384,CUST00646,DRV0284,"Average ride, nothing special but no complaints either. On time pickup.",4,2025-09-26 07:53:44
REV000160,BK000385,CUST00694,DRV0245,"Decent ride but the driver took a longer route than necessary, added to the fare.",3,2025-03-05 19:57:58
REV000161,BK000386,CUST01720,DRV0251,best app best driver,1,2025-05-23 02:29:35
REV000162,BK000387,CUST00827,DRV0026,"Average ride, nothing special but no complaints either. On time pickup.",3,2025-08-16 05:04:54
REV000163,BK000391,CUST01663,DRV0197,AC wasn't working properly but driver was courteous. Fare was reasonable for 1.4km.,4,2025-10-06 11:07:20
REV000164,BK000394,CUST00679,DRV0301,"Smooth ride, driver took the flyover route which saved time. Would book again.",5,2025-07-19 22:35:42
REV000165,BK000397,CUST00462,DRV0189,"Excellent service, driver helped with my luggage and was very professional.",5,2025-09-20 05:21:55
REV000166,BK000398,CUST00586,DRV0043,Driver was a bit late by 10 mins but called ahead to inform. Drive was safe and smooth.,4,2025-06-12 22:55:25
REV000167,BK000400,CUST00378,DRV0009,"Average ride, nothing special but no complaints either. On time pickup.",3,2025-10-11 23:20:30
REV000168,BK000406,CUST00342,DRV0236,"Smooth ride, driver took the flyover route which saved time. Would book again.",5,2025-05-22 19:46:03
REV000169,BK000407,CUST00408,DRV0215,Driver was a bit late by 10 mins but called ahead to inform. Drive was safe and smooth.,4,2025-11-21 23:44:46
REV000170,BK000408,CUST00086,DRV0260,"Average ride, nothing special but no complaints either. On time pickup.",4,2025-03-25 19:26:44
REV000171,BK000413,CUST00977,DRV0280,"Good experience overall, vehicle was in good condition. Driver knew the Delhi routes well.",5,2025-06-25 05:40:06
REV000172,BK000414,CUST00260,DRV0191,"Excellent service, driver helped with my luggage and was very professional.",4,2025-12-21 15:52:07
REV000173,BK000415,CUST01782,DRV0102,Driver was a bit late by 10 mins but called ahead to inform. Drive was safe and smooth.,4,2025-01-04 03:20:55
REV000174,BK000422,CUST01521,DRV0120,"Excellent service, driver helped with my luggage and was very professional.",4,2025-04-10 13:16:32
REV000175,BK000423,CUST00670,DRV0307,"Excellent service, driver helped with my luggage and was very professional.",4,2025-05-02 16:58:44
REV000176,BK000424,CUST00586,DRV0239,Driver was a bit late by 10 mins but called ahead to inform. Drive was safe and smooth.,4,2025-12-28 15:03:53
REV000177,BK000425,CUST00488,DRV0321,Visit www.bestdeals-ride.com for discount codes!!!,4,2025-02-27 20:05:52
REV000178,BK000426,CUST01626,DRV0263,AC wasn't working properly but driver was courteous. Fare was reasonable for 0.8km.,3,2025-04-11 06:35:48
REV000179,BK000428,CUST01491,DRV0131,Driver Robert was very polite and the Auto was clean. Reached on time despite traffic near Chennai.,4,2025-10-19 20:17:59
REV000180,BK000429,CUST01298,DRV0146,"Average ride, nothing special but no complaints either. On time pickup.",4,2025-04-09 07:50:30
REV000181,BK000432,CUST00607,DRV0029,Driver Ekanta was very polite and the Bike was clean. Reached on time despite traffic near Pune.,4,2025-08-12 05:48:50
REV000182,BK000433,CUST00239,DRV0244,"Excellent service, driver helped with my luggage and was very professional.",5,2025-09-12 10:09:38
REV000183,BK000436,CUST00982,DRV0139,AC wasn't working properly but driver was courteous. Fare was reasonable for 4.8km.,3,2025-01-13 19:12:53
REV000184,BK000437,CUST01466,DRV0183,Driver Zaid was very polite and the Auto was clean. Reached on time despite traffic near Pune.,5,2025-05-09 19:10:05
REV000185,BK000440,CUST00138,DRV0127,Driver Vrinda was very polite and the Bike was clean. Reached on time despite traffic near Delhi.,5,2025-01-28 18:08:44
REV000186,BK000442,CUST01454,DRV0163,AC wasn't working properly but driver was courteous. Fare was reasonable for 3.6km.,4,2025-10-24 18:32:41
REV000187,BK000444,CUST00851,DRV0321,"Excellent service, driver helped with my luggage and was very professional.",5,2025-02-03 01:05:23
REV000188,BK000448,CUST00523,DRV0135,"Good experience overall, vehicle was in good condition. Driver knew the Mumbai routes well.",4,2025-11-16 06:32:43
REV000189,BK000449,CUST01222,DRV0253,Driver was a bit late by 10 mins but called ahead to inform. Drive was safe and smooth.,3,2025-08-23 16:49:52
REV000190,BK000453,CUST01147,DRV0009,Driver was a bit late by 10 mins but called ahead to inform. Drive was safe and smooth.,4,2025-01-31 09:38:55
REV000191,BK000455,CUST00871,DRV0045,Driver Leena was very polite and the Auto was clean. Reached on time despite traffic near Delhi.,5,2025-08-30 02:14:18
REV000192,BK000456,CUST00776,DRV0341,Driver was a bit late by 10 mins but called ahead to inform. Drive was safe and smooth.,3,2025-09-25 11:21:05
REV000193,BK000461,CUST00350,DRV0291,"Excellent service, driver helped with my luggage and was very professional.",5,2025-11-13 03:54:33
REV000194,BK000462,CUST01628,DRV0150,Driver Finn was very polite and the Sedan was clean. Reached on time despite traffic near Chennai.,4,2025-01-24 04:03:22
REV000195,BK000464,CUST01579,DRV0269,"Smooth ride, driver took the flyover route which saved time. Would book again.",5,2025-06-21 10:41:11
REV000196,BK000466,CUST01751,DRV0311,"Excellent service, driver helped with my luggage and was very professional.",4,2025-03-16 07:34:46
REV000197,BK000467,CUST00593,DRV0209,Driver was a bit late by 10 mins but called ahead to inform. Drive was safe and smooth.,3,2025-01-24 21:04:50
REV000198,BK000468,CUST00919,DRV0060,"Average ride, nothing special but no complaints either. On time pickup.",3,2025-05-16 11:20:43
REV000199,BK000471,CUST00415,DRV0251,best app best driver,1,2025-06-24 15:39:16
REV000200,BK000474,CUST00725,DRV0265,"Smooth ride, driver took the flyover route which saved time. Would book again.",5,2025-03-09 22:54:16
REV000201,BK000476,CUST01568,DRV0039,"Good experience overall, vehicle was in good condition. Driver knew the Hyderabad routes well.",4,2025-11-13 20:23:01
REV000202,BK000478,CUST00358,DRV0162,"Excellent service, driver helped with my luggage and was very professional.",4,2025-09-20 10:15:56
REV000203,BK000479,CUST00557,DRV0250,Driver was a bit late by 10 mins but called ahead to inform. Drive was safe and smooth.,3,2025-08-30 01:23:14
REV000204,BK000480,CUST01142,DRV0235,"Smooth ride, driver took the flyover route which saved time. Would book again.",5,2025-07-13 13:09:10
REV000205,BK000485,CUST01482,DRV0225,AC wasn't working properly but driver was courteous. Fare was reasonable for 4.4km.,3,2025-03-24 00:37:14
REV000206,BK000487,CUST00141,DRV0112,Driver Daniel was very polite and the Bike was clean. Reached on time despite traffic near Mumbai.,4,2025-08-29 07:39:03
REV000207,BK000493,CUST00135,DRV0123,"Good experience overall, vehicle was in good condition. Driver knew the Mumbai routes well.",4,2025-04-12 12:59:14
REV000208,BK000495,CUST00729,DRV0298,"Excellent service, driver helped with my luggage and was very professional.",4,2025-10-07 15:30:27
REV000209,BK000496,CUST00692,DRV0304,AC wasn't working properly but driver was courteous. Fare was reasonable for 4.7km.,3,2025-07-28 14:46:23
REV000210,BK000497,CUST00684,DRV0296,Best driver ever! Best driver ever! Best driver ever!,1,2025-08-31 00:48:53
REV000211,BK000498,CUST01220,DRV0138,Driver was a bit late by 10 mins but called ahead to inform. Drive was safe and smooth.,4,2025-07-24 07:17:09
REV000212,BK000499,CUST00063,DRV0310,"Decent ride but the driver took a longer route than necessary, added to the fare.",3,2025-05-01 20:46:50
